INFO 2025-07-18 17:15:16,722 autoreload 14780 10388 Watching for file changes with StatReloader
INFO 2025-07-18 17:18:33,057 basehttp 14780 24560 "GET /admin HTTP/1.1" 301 0
INFO 2025-07-18 17:18:33,098 basehttp 14780 21732 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-07-18 17:18:33,149 basehttp 14780 21732 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4218
INFO 2025-07-18 17:18:33,225 basehttp 14780 21732 "GET /static/admin/css/base.css HTTP/1.1" 200 21310
INFO 2025-07-18 17:18:33,233 basehttp 14780 21732 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-07-18 17:18:33,236 basehttp 14780 21732 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-07-18 17:18:33,239 basehttp 14780 21732 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-07-18 17:18:33,241 basehttp 14780 21732 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18559
INFO 2025-07-18 17:18:33,242 basehttp 14780 21732 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-07-18 17:18:33,242 basehttp 14780 21732 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
WARNING 2025-07-18 17:18:33,380 log 14780 21732 Not Found: /favicon.ico
WARNING 2025-07-18 17:18:33,380 basehttp 14780 21732 "GET /favicon.ico HTTP/1.1" 404 3225
INFO 2025-07-18 17:18:37,925 basehttp 14780 21732 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4379
INFO 2025-07-18 17:18:44,812 basehttp 14780 21732 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4379
INFO 2025-07-18 17:19:43,596 autoreload 20860 12304 Watching for file changes with StatReloader
INFO 2025-07-18 17:19:50,489 basehttp 20860 10372 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-07-18 17:19:50,581 basehttp 20860 10372 "GET /admin/ HTTP/1.1" 200 12365
INFO 2025-07-18 17:19:50,635 basehttp 20860 10372 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-07-18 17:19:50,646 basehttp 20860 19900 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-07-18 17:19:50,646 basehttp 20860 10372 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-07-18 17:20:15,692 basehttp 20860 10372 "GET /admin/shop/product/ HTTP/1.1" 200 13653
INFO 2025-07-18 17:20:15,720 basehttp 20860 10372 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
INFO 2025-07-18 17:20:15,736 basehttp 20860 19900 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-07-18 17:20:15,736 basehttp 20860 19444 "GET /static/admin/js/core.js HTTP/1.1" 200 5682
INFO 2025-07-18 17:20:15,741 basehttp 20860 19444 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
INFO 2025-07-18 17:20:15,741 basehttp 20860 19900 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2025-07-18 17:20:15,743 basehttp 20860 10372 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
INFO 2025-07-18 17:20:15,749 basehttp 20860 19900 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-07-18 17:20:15,749 basehttp 20860 19444 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-07-18 17:20:15,752 basehttp 20860 19900 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-07-18 17:20:15,760 basehttp 20860 19444 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-18 17:20:15,760 basehttp 20860 10372 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2025-07-18 17:20:15,769 basehttp 20860 10372 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-07-18 17:20:15,792 basehttp 20860 10372 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-07-18 17:20:18,982 basehttp 20860 10372 "GET /admin/shop/product/add/ HTTP/1.1" 200 38369
INFO 2025-07-18 17:20:19,007 basehttp 20860 19900 "GET /static/admin/js/collapse.js HTTP/1.1" 200 1803
INFO 2025-07-18 17:20:19,012 basehttp 20860 19444 "GET /static/admin/js/calendar.js HTTP/1.1" 200 8466
INFO 2025-07-18 17:20:19,012 basehttp 20860 10372 "GET /static/admin/css/forms.css HTTP/1.1" 200 9090
INFO 2025-07-18 17:20:19,012 basehttp 20860 19812 "GET /static/admin/js/inlines.js HTTP/1.1" 200 15526
INFO 2025-07-18 17:20:19,015 basehttp 20860 16220 "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
